GO,Officer Serial,Employee Year of Birth
06-004281,2928,
08-198890,4193,1954
11-346119,4525,1953
09-276882,4695,1953
05-118193,4885,1963
09-276882,4932,1962
05-256303,5210,1959
08-198890,5327,1959
08-239056,5334,1963
06-161445,5450,1951
10-422297,5452,1967
14-290207,5452,1967
12-257843,5477,1969
05-256303,5548,1964
12-295976,5617,1965
10-309178,5689,1966
05-407965,5773,1965
14-295588,5830,1965
12-324197,5876,1970
08-295543,5937,1965
06-256540,5966,1969
08-239056,5971,1971
10-406726,5971,1971
10-309178,5980,1965
06-082380,5985,1963
05-407965,6017,
09-276882,6024,1968
09-016462,6180,1968
07-023777,6187,1973
12-402798,6187,1973
09-000228,6311,1970
12-402798,6316,1975
10-166254,6320,1973
09-227743,6393,1969
14-101057,6393,1969
07-251617,6394,1962
05-499750,6407,1972
10-286279,6609,1971
06-165112,6611,1961
08-239056,6668,1961
07-023777,6671,1972
05-174022,6673,1971
05-388203,6688,1971
09-174368,6696,1965
10-406726,6703,1974
09-016462,6707,1972
09-000228,6727,
14-249611,6727,
12-295976,6740,1964
05-286240,6755,
10-406726,6776,1975
07-005873,6808,1978
11-208425,6816,1977
14-290207,6834,1970
05-530964,6841,1962
06-165112,6851,1968
09-415587,6858,1970
14-235934,6858,1970
07-421351,6876,1970
12-324197,6880,1971
09-235011,6928,1982
09-016462,6935,1977
14-431136,6972,1983
13-066545,7410,1984
13-066545,7415,1978
14-431136,7434,1985
14-212537,7445,1980
09-016462,7453,1984
09-016462,7463,1981
13-066545,7491,1982
10-303528,7505,1983
13-031221,7527,1981
14-249611,7530,1985
09-383210,7570,1976
10-309178,7582,1966
14-431136,7776,1986