General Offense Number,Badge Num,Year of Birth
13-186606,,
13-236273,,
13-289763,6622,1960
13-289763,7576,1980
13-289763,5449,1964
13-289763,6800,1972
13-321925,,
13-429809,7611,1988
14-019975,6187,1973
14-019975,6316,1975
14-019975,6089,1972
14-019975,6413,1973
14-021878,6921,1978
15-244504,7576,1980
15-340293,7654,1984
15-340293,7664,1975
15-340351,6678,1970
15-340351,6948,1976
15-423533,5987,1967
15-423533,7417,1975
15-423533,7580,1982
15-423533,8347,1988
15-423533,6773,1978
15-423533,6052,1961
15-423533,7544,1971
15-423533,7489,1985
15-423533,7540,1981
15-423533,5954,1967
15-423533,6875,1980
15-423533,8334,1975
15-423533,6662,1968
15-423533,6088,1965
15-423533,7456,1979
15-423533,7616,1978
15-423533,6693,1969
15-423533,6070,1971
15-423533,5784,1967
15-423533,5843,1969
15-423533,8308,1987
15-423533,6181,1967
15-423533,8309,1992
15-423533,5960,1970
15-423533,5955,1965
15-423533,6607,1973
15-423533,7557,1985
15-423533,5925,1968
15-423533,7640,1972
16-062644,7491,1982
16-062644,7496,1977
16-062644,7417,1975
16-062644,5925,1968
16-062644,7544,1971
16-062644,7497,1982
16-10077,7575,1985
16-10077,7716,1992
16-10077,7722,1989
16-10077,7519,1984
16-10077,7436,1966
16-218268,7784,1990